shipment_id,date,origin_city,origin_state,destination_city,destination_state,destination_zip,carrier,service_level,weight_lbs,units,residential,special_handling
PLG-8948107,2025-12-01,Denver,CO,Idaho Falls,ID,83401,Peak Logistics,Standard,556.4,,FALSE,
PLG-3726331,2025-12-02,Denver,CO,Fort Collins,CO,80521,Peak Logistics,Standard,1264.3,,FALSE,
PLG-9931180,2025-12-03,Denver,CO,Laramie,WY,82070,Peak Logistics,Standard,942.8,,FALSE,
PLG-7988386,2025-12-04,Denver,CO,Laramie,WY,82070,Peak Logistics,Standard,414.5,,FALSE,
PLG-4817541,2025-12-05,Denver,CO,Colorado Springs,CO,80901,Peak Logistics,Standard,912.6,,FALSE,
PLG-7378535,2025-12-06,Denver,CO,Provo,UT,84601,Peak Logistics,Standard,1312.6,,FALSE,
PLG-4420734,2025-12-07,Denver,CO,Fort Collins,CO,80521,Peak Logistics,Standard,465.1,,FALSE,Liftgate
PLG-4478616,2025-12-08,Denver,CO,Laramie,WY,82070,Peak Logistics,Standard,3380.6,,FALSE,Liftgate
PLG-6743294,2025-12-09,Denver,CO,Pueblo,CO,81001,Peak Logistics,Standard,953.2,,FALSE,
PLG-4772642,2025-12-10,Denver,CO,Cheyenne,WY,82001,Peak Logistics,Standard,778.4,,FALSE,
PLG-9049765,2025-12-11,Denver,CO,Billings,MT,59101,Peak Logistics,Standard,1585.9,,FALSE,
PLG-7619156,2025-12-12,Denver,CO,Cheyenne,WY,82001,Peak Logistics,Standard,310,,FALSE,
PLG-8421839,2025-12-13,Denver,CO,Casper,WY,82601,Peak Logistics,Standard,182.7,,FALSE,
PLG-5557052,2025-12-14,Denver,CO,Idaho Falls,ID,83401,Peak Logistics,Standard,417.2,,FALSE,
PLG-4786141,2025-12-15,Denver,CO,Laramie,WY,82070,Peak Logistics,Standard,836.2,,FALSE,
PLG-3306314,2025-12-16,Denver,CO,Grand Junction,CO,81501,Peak Logistics,Standard,198.9,,FALSE,
PLG-8980915,2025-12-17,Denver,CO,Laramie,WY,82070,Peak Logistics,Standard,2272.9,,FALSE,
PLG-4896008,2025-12-18,Denver,CO,Fort Collins,CO,80521,Peak Logistics,Standard,921.6,,FALSE,Appointment Delivery
PLG-7660463,2025-12-19,Denver,CO,Colorado Springs,CO,80901,Peak Logistics,Standard,2335.3,,FALSE,"Liftgate, Inside Delivery"
PLG-1155477,2025-12-20,Denver,CO,Casper,WY,82601,Peak Logistics,Standard,3563.1,,FALSE,
PLG-9796605,2025-12-21,Denver,CO,Laramie,WY,82070,Peak Logistics,Standard,486.4,,FALSE,
