invoice_id,carrier,invoice_date,service_month,shipment_ref,destination_city,destination_state,destination_zip,weight_lbs,base_charge,fuel_surcharge,accessorial_fees,accessorial_detail,adjustments,total_charge
PK-INV-2026-1102,Peak Logistics,2026-02-10,January 2026,PLG-5002586,Pocatello,ID,83201,2934.9,2270.4,317.86,0,,0,2588.26
PK-INV-2026-1103,Peak Logistics,2026-02-10,January 2026,PLG-7437584,Fort Collins,CO,80521,113.2,170.32,23.84,0,,0,194.16
PK-INV-2026-1104,Peak Logistics,2026-02-10,January 2026,PLG-3799538,Pueblo,CO,81001,1563.5,425.7,59.6,0,,0,485.3
PK-INV-2026-1105,Peak Logistics,2026-02-10,January 2026,PLG-1160783,Fort Collins,CO,80521,433.8,170.32,23.84,0,,0,194.16
PK-INV-2026-1106,Peak Logistics,2026-02-10,January 2026,PLG-9249791,Fort Collins,CO,80521,1956.2,251.55,35.22,0,,0,286.77
PK-INV-2026-1107,Peak Logistics,2026-02-10,January 2026,PLG-5900455,Pueblo,CO,81001,606.6,425.7,59.6,0,,0,485.3
PK-INV-2026-1108,Peak Logistics,2026-02-10,January 2026,PLG-9309978,Fort Collins,CO,80521,753.8,251.55,35.22,0,,0,286.77
PK-INV-2026-1109,Peak Logistics,2026-02-10,January 2026,PLG-1698108,Colorado Springs,CO,80901,909,270.9,37.93,0,,0,308.83
PK-INV-2026-1110,Peak Logistics,2026-02-10,January 2026,PLG-5152891,Idaho Falls,ID,83401,1939.4,1857.6,260.06,0,,0,2117.66
PK-INV-2026-1111,Peak Logistics,2026-02-10,January 2026,PLG-2969410,Colorado Springs,CO,80901,1050.7,270.9,37.93,0,,0,308.83
PK-INV-2026-1112,Peak Logistics,2026-02-10,January 2026,PLG-8183451,Casper,WY,82601,388.2,786.1,110.05,0,,0,896.15
PK-INV-2026-1113,Peak Logistics,2026-02-10,January 2026,PLG-9930189,Fort Collins,CO,80521,1765.7,251.55,35.22,0,,0,286.77
PK-INV-2026-1114,Peak Logistics,2026-02-10,January 2026,PLG-9630451,Laramie,WY,82070,484.9,340.64,47.69,0,,0,388.33
PK-INV-2026-1115,Peak Logistics,2026-02-10,January 2026,PLG-1994652,Great Falls,MT,59401,719.2,2747.71,384.68,0,,0,3132.39
